symbol, companyName, marketCap, sector, industry, beta, price, lastAnnualDividend, volume, exchange, exchangeShortName, country, isEtf, isFund, isActivelyTrading
"VMCPX","Vanguard Mid-Cap Index Fund Institutional Plus Shares","309283288630","Financial Services","Asset Management","1.04","332.04","2.86583","0","NASDAQ","NASDAQ","null","false","true","true",
"VINIX","Vanguard Institutional Index Fund Institutional Shares","297440214720","Financial Services","Asset Management","1","444.49","3.042443","0","NASDAQ","NASDAQ","US","false","true","true",
"VIIIX","Vanguard Institutional Index Fund","295915631357","Financial Services","Asset Management","1","444.48","3.004","0","NASDAQ","NASDAQ","US","false","true","true",
"VTBNX","Vanguard Total Bond Market II Idx I","291412624709","Financial Services","Asset Management - Bonds","0.99","9.44","0.27399999999999997","0","Nasdaq","NASDAQ","null","false","true","true",
"CVX","Chevron Corporation","290341493800","Energy","Oil & Gas Integrated","1.091","157.54","6.52","4420079","New York Stock Exchange","NYSE","US","false","false","true",
"KO","The Coca-Cola Company","284626256500","Consumer Defensive","Beverages - Non-Alcoholic","0.592","66.07","1.94","13895715","New York Stock Exchange","NYSE","US","false","false","true",
"VIMAX","Vanguard Mid-Cap Index Fund Admiral Shares","283882287547","Financial Services","Asset Management","1.04","304.77","2.416","0","NASDAQ","NASDAQ","null","false","true","true",
"NFLX","Netflix, Inc.","272129234850","Communication Services","Entertainment","1.266","634.09","0","4416973","NASDAQ Global Select","NASDAQ","US","false","false","true",
"TM","Toyota Motor Corporation","262981571889","Consumer Cyclical","Auto - Manufacturers","0.472","195.25","4.01","211540","New York Stock Exchange","NYSE","JP","false","false","true",
"MRK.PA","Merck & Co., Inc.","260608147402","Healthcare","Drug Manufacturers - General","0.355383","101.4","2.27","250","Paris","EURONEXT","US","false","false","false",
"RGAGX","American Funds The Growth Fund of America Class R-6","255074287389","Financial Services","Asset Management","1.09","72.05","0.565","0","NASDAQ","NASDAQ","null","false","true","true",
"GAFFX","American Funds The Growth Fund of America Class F-3","254826479591","Financial Services","Asset Management","1.09","71.98","0.565","0","NASDAQ","NASDAQ","null","false","true","true",
"AGTHX","American Funds The Growth Fund of America Class A","254401642448","Financial Services","Asset Management","1.09","71.86","0.37","0","NASDAQ","NASDAQ","US","false","true","true",
"GFAFX","The Growth Fund of America Class F-1 Shares","252135882544","Financial Services","Asset Management","1.09","71.22","0.34","0","NASDAQ","NASDAQ","null","false","true","true",
"CGFAX","American Funds Growth Fund of Amer 529A","250294972808","null","null","1.09","70.7","0.35","0","Nasdaq","NASDAQ","null","false","true","true",
"CRM","Salesforce, Inc.","248567880000","Technology","Software - Application","1.291","256.52","1.6","6447369","New York Stock Exchange","NYSE","US","false","false","true",
"SAP","SAP SE","245909865000","Technology","Software - Application","0.923","210.81","2.39","1309502","New York Stock Exchange","NYSE","DE","false","false","true",
"AZN","AstraZeneca PLC","243454400800","Healthcare","Drug Manufacturers - General","0.15","78.52","1.45","10595209","NASDAQ Global Select","NASDAQ","GB","false","false","true",
"ADBE","Adobe Inc.","235955310000","Technology","Software - Infrastructure","1.297","532.15","0","2135228","NASDAQ Global Select","NASDAQ","US","false","false","true",
"PEP","PepsiCo, Inc.","234907941400","Consumer Defensive","Beverages - Non-Alcoholic","0.526","171.02","5.42","6104611","NASDAQ Global Select","NASDAQ","US","false","false","true",
"SHEL","Shell plc","231285986550","Energy","Oil & Gas Integrated","0.549","72.09","2.75","4858647","New York Stock Exchange","NYSE","GB","false","false","true",
"RGABX","American Funds The Growth Fund of America Class R-2","228982720936","Financial Services","Asset Management","1.09","64.68","0","0","NASDAQ","NASDAQ","US","false","true","true",
"CIS.BR","Cisco Systems, Inc.","228207362036","Technology","Communication Equipment","0.954356","53.06","1.56","1","Brussels","EURONEXT","US","false","false","false",
"VERIZ.BR","Verizon Communications Inc.","227018156544","Communication Services","Telecommunications Services","0.328492","54","2.46","500","Brussels","EURONEXT","US","false","false","false",
"TMO","Thermo Fisher Scientific Inc.","226930162000","Healthcare","Medical - Diagnostics & Research","0.771","594.5","1.56","3624510","New York Stock Exchange","NYSE","US","false","false","true",
"BALFX","American Funds American Balanced Fund, Class F-1 Shs","226661613564","Financial Services","Asset Management","0.96","34.38","0.758","0","NASDAQ","NASDAQ","null","false","true","true",
"ABALX","American Funds American Balanced Fund Class A","226661613535","Financial Services","Asset Management","0.96","34.41","0.775","0","NASDAQ","NASDAQ","US","false","true","true",
"RLBGX","American Funds American Balanced Fund Class R-6","226267305163","Financial Services","Asset Management","0.96","34.43","0.876","0","NASDAQ","NASDAQ","null","false","true","true",
"AFMBX","American Funds American Balanced Fund","226266961858","Financial Services","Asset Management","0.96","34.4","0.876","0","NASDAQ","NASDAQ","null","false","true","true",
"CLBAX","American Funds American Balanced 529A","226266273530","","","0.96","34.34","0.763","0","Nasdaq","NASDAQ","null","false","true","true",
"AMBFX","American Balanced Fund Class F-2 Shs","226201052930","Financial Services","Asset Management","0.96","34.38","0.843","0","NASDAQ","NASDAQ","null","false","true","true",
"RGAAX","The Growth Fund of America Class R-1 Shares","225548664024","Financial Services","Asset Management","1.09","63.71","0","0","NASDAQ","NASDAQ","US","false","true","true",
"AMD","Advanced Micro Devices, Inc.","223567999200","Technology","Semiconductors","1.681","138.32","0","60367344","NASDAQ Global Select","NASDAQ","US","false","false","true",
"GFACX","American Funds The Growth Fund of America","220592340069","Financial Services","Asset Management","1.09","62.31","0","0","NASDAQ","NASDAQ","US","false","true","true",
"NVS","Novartis AG","215076531704","Healthcare","Drug Manufacturers - General","0.491","109.93","3.78","1248448","New York Stock Exchange","NYSE","CH","false","false","true",
"RY.TO","Royal Bank of Canada","213976544000","Financial Services","Banks - Diversified","0.842","151.52","5.68","19090961","Toronto Stock Exchange","TSX","CA","false","false","true",
"LIN","Linde plc","212971609480","Basic Materials","Chemicals - Specialty","0.944","443.03","5.56","1637416","NASDAQ Global Select","NASDAQ","GB","false","false","true",
"SHELL.AS","Shell plc","211266225750","Energy","Oil & Gas Integrated","0.549","32.925","1.29","4363129","Amsterdam","EURONEXT","GB","false","false","true",
"RMS.PA","Hermès International Société en commandite par actions","210192879195","Consumer Cyclical","Luxury Goods","0.719","2007","15","80328","Paris","EURONEXT","FR","false","false","true",
"OR.PA","L'Oréal S.A.","209799353750","Consumer Defensive","Household & Personal Products","0.717","392.35","6.6","303762","Paris","EURONEXT","FR","false","false","true",
"WFC","Wells Fargo & Company","208133304000","Financial Services","Banks - Diversified","1.168","59.7","1.6","14093912","New York Stock Exchange","NYSE","US","false","false","true",
"ACN","Accenture plc","206781886080","Technology","Information Technology Services","1.227","330.12","5.16","2764076","New York Stock Exchange","NYSE","IE","false","false","true",
"TMUS","T-Mobile US, Inc.","205237809000","Communication Services","Telecommunications Services","0.506","175.14","2.6","4136888","NASDAQ Global Select","NASDAQ","US","false","false","true",
"VEMPX","Vanguard Extended Market Index InstlPlus","200301627492","","","1.09","329.45","2.39623","0","NASDAQ","NASDAQ","null","false","true","true",
"QCOM","QUALCOMM Incorporated","195735240000","Technology","Semiconductors","1.272","175.39","3.4","12667761","NASDAQ Global Select","NASDAQ","US","false","false","true",
"VEMRX","Vanguard Emerging Mkts Stock Idx InsPlus","195268163770","","","0.87","91.56","2.59","0","Nasdaq","NASDAQ","null","false","true","true",
"DHR","Danaher Corporation","195062509170","Healthcare","Medical - Diagnostics & Research","0.861","270.09","1.08","4245889","New York Stock Exchange","NYSE","US","false","false","true",
"CSCO","Cisco Systems, Inc.","190320984400","Technology","Communication Equipment","0.844","47.24","1.6","20569063","NASDAQ Global Select","NASDAQ","US","false","false","true",
"VTMNX","Vanguard Developed Markets Index Fund Institutional Shares","190017518012","Financial Services","Asset Management","1.09","15.97","0.40559999999999996","0","NASDAQ","NASDAQ","US","false","true","true",
"VTMGX","Vanguard Developed Markets Index Admiral","190016035343","","","1.09","15.95","0.385","0","NASDAQ","NASDAQ","null","false","true","true",
"ABT","Abbott Laboratories","184331194800","Healthcare","Medical - Devices","0.718","105.96","2.2","6306719","New York Stock Exchange","NYSE","US","false","false","true",
"MCD","McDonald's Corporation","181222695720","Consumer Cyclical","Restaurants","0.709","251.46","6.68","2803755","New York Stock Exchange","NYSE","US","false","false","true",
"TXN","Texas Instruments Incorporated","179501526300","Technology","Semiconductors","0.974","197.15","5.2","9362270","NASDAQ Global Select","NASDAQ","US","false","false","true",
"AMGN","Amgen Inc.","179330220166","Healthcare","Drug Manufacturers - General","0.58","334.3","9","2407290","NASDAQ Global Select","NASDAQ","US","false","false","true",
"GE","General Electric Company","178553327700","Industrials","Aerospace & Defense","1.218","164.67","1.12","8787307","New York Stock Exchange","NYSE","US","false","false","true",
"IBM","International Business Machines Corporation","176353403940","Technology","Information Technology Services","0.706","191.98","6.68","8724241","New York Stock Exchange","NYSE","US","false","false","true",
"PM","Philip Morris International Inc.","175976192000","Consumer Defensive","Tobacco","0.6","113.2","5.2","6975885","New York Stock Exchange","NYSE","US","false","false","true",
"INTU","Intuit Inc.","175085877040","Technology","Software - Application","1.232","626.32","3.6","1214817","NASDAQ Global Select","NASDAQ","US","false","false","true",
"PDD","PDD Holdings Inc.","172370890224","Consumer Cyclical","Specialty Retail","0.615","129.74","0","4258527","NASDAQ Global Select","NASDAQ","CN","false","false","true",
"GNE.PA","General Electric Company","171320982528","Industrials","Industrial - Machinery","1.218","158","1.03","360","Paris","EURONEXT","US","false","false","true",
"PFE","Pfizer Inc.","171017686200","Healthcare","Drug Manufacturers - General","0.634","30.18","1.68","34021525","New York Stock Exchange","NYSE","US","false","false","true",
"AXP","American Express Company","170746844160","Financial Services","Financial - Credit Services","1.213","240.18","2.8","2978846","New York Stock Exchange","NYSE","US","false","false","true",
"BX","Blackstone Inc.","170260491573","Financial Services","Asset Management","1.49","140.02","3.39","4410330","New York Stock Exchange","NYSE","US","false","false","true",
"NOW","ServiceNow, Inc.","169901950000","Technology","Software - Application","0.993","828.79","0","6535185","New York Stock Exchange","NYSE","US","false","false","true",
"CAT","Caterpillar Inc.","168380947900","Industrials","Agricultural - Machinery","1.106","344.3","5.64","2868259","New York Stock Exchange","NYSE","US","false","false","true",
"MS","Morgan Stanley","168301569600","Financial Services","Financial - Capital Markets","1.368","103.56","3.7","4565799","New York Stock Exchange","NYSE","US","false","false","true",
"VZ","Verizon Communications Inc.","168159937000","Communication Services","Telecommunications Services","0.393","39.95","2.66","16419681","New York Stock Exchange","NYSE","US","false","false","true",
"AMAT","Applied Materials, Inc.","167515902000","Technology","Semiconductors","1.55","202.32","1.6","9939059","NASDAQ Global Select","NASDAQ","US","false","false","true",
"DIS","The Walt Disney Company","162633398400","Communication Services","Entertainment","1.399","89.21","0.75","8264848","New York Stock Exchange","NYSE","US","false","false","true",
"BABA","Alibaba Group Holding Limited","161601218368","Consumer Cyclical","Specialty Retail","0.318","75.4","2","6785854","New York Stock Exchange","NYSE","CN","false","false","true",
"CATR.PA","Caterpillar Inc.","159920328384","Industrials","Agricultural - Machinery","1.178","327","4.78","152","Paris","EURONEXT","US","false","false","false",
"TTE","TotalEnergies SE","159739701066","Energy","Oil & Gas Integrated","0.754","67.63","3.39","1317465","New York Stock Exchange","NYSE","FR","false","false","true",
"HSBC","HSBC Holdings plc","158663080800","Financial Services","Banks - Diversified","0.558","42.84","3.05","1400580","New York Stock Exchange","NYSE","GB","false","false","true",
"GS","The Goldman Sachs Group, Inc.","158558773440","Financial Services","Financial - Capital Markets","1.364","491.71","12","1487629","New York Stock Exchange","NYSE","US","false","false","true",
"ARM","Arm Holdings plc American Depositary Shares","156274147694","Technology","Semiconductors","null","149.14","0","15954592","NASDAQ","NASDAQ","GB","false","false","true",
"ISRG","Intuitive Surgical, Inc.","155197305960","Healthcare","Medical - Instruments & Supplies","1.39","436.74","0","1797119","NASDAQ Global Select","NASDAQ","US","false","false","true",
"RY","Royal Bank of Canada","154762998000","Financial Services","Banks - Diversified","0.842","109.59","4.14","564830","New York Stock Exchange","NYSE","CA","false","false","true",
"PONPX","PIMCO Income Fund","153322094589","Financial Services","Asset Management - Income","0.78","10.58","0.54","0","NASDAQ","NASDAQ","null","false","true","true",
"PIMIX","PIMCO Income Fund Institutional Class","153322094589","Financial Services","Asset Management - Income","0.78","10.58","0.55","0","NASDAQ","NASDAQ","US","false","true","true",
"HDB","HDFC Bank Limited","152669608000","Financial Services","Banks - Regional","0.832","60.2","1.4","1563221","New York Stock Exchange","NYSE","IN","false","false","true",
"VIGIX","Vanguard Growth Index Institutional","151841828197","","","1.2","184.62","0.495","0","NASDAQ","NASDAQ","null","false","true","true",
"VIGAX","Vanguard Growth Index Fd Admiral Shs","151825378892","","","1.2","184.6","0.495047","0","NASDAQ","NASDAQ","null","false","true","true",
"SPGI","S&P Global Inc.","151233957000","Financial Services","Financial - Data & Stock Exchanges","1.157","483.33","3.64","785538","New York Stock Exchange","NYSE","US","false","false","true",
"NEE","NextEra Energy, Inc.","150884683200","Utilities","Regulated Electric","0.538","73.44","2.06","13931557","New York Stock Exchange","NYSE","US","false","false","true",
"RTX","Raytheon Technologies Corporation","150859499700","Industrials","Aerospace & Defense","0.545","113.47","2.52","13411997","New York Stock Exchange","NYSE","US","false","false","true",
"CMCSA","Comcast Corporation","149678243200","Communication Services","Telecommunications Services","1.003","38.24","1.24","18246811","NASDAQ Global Select","NASDAQ","US","false","false","true",
"UL","Unilever PLC","147219921828","Consumer Defensive","Household & Personal Products","0.181","59.08","1.84","5804766","New York Stock Exchange","NYSE","GB","false","false","true",
"INCO.BR","Intel Corporation","147040680000","Technology","Semiconductors","0.886929","35.11","0.5","3","Brussels","EURONEXT","US","false","false","false",
"TTE.PA","TotalEnergies SE","146370978486","Energy","Oil & Gas Integrated","0.754","61.97","3.16","2587208","Paris","EURONEXT","FR","false","false","true",
"RICAX","American Funds Investment Company of America Class R-1","144498737127","Financial Services","Asset Management","0.91","56.22","0.337","0","NASDAQ","NASDAQ","null","false","true","true",
"AICFX","American Funds Investment Co of America Cl F-1 Shs","144498737105","Financial Services","Asset Management","0.91","56.68","0.692","0","NASDAQ","NASDAQ","null","false","true","true",
"FFICX","American Funds Invmt Co of Amer F3","144219733055","","","0.91","56.86","0.8820000000000001","0","Nasdaq","NASDAQ","null","false","true","true",
"CICAX","American Funds Invmt Co of Amer 529A","144218848771","","","0.91","56.68","0.705","0","Nasdaq","NASDAQ","null","false","true","true",
"RICBX","American Funds Invmt Co of Amer R2","144217013225","Financial Services","Asset Management","0.91","56.31","0.331","0","Nasdaq","NASDAQ","null","false","true","true",
"AICCX","American Funds Investment Co of America C","144215708977","Financial Services","Asset Management","0.91","56.05","0.339","0","NASDAQ","NASDAQ","null","false","true","true",
"AIVSX","American Funds Invmt Co of Amer A","144194529280","Financial Services","Asset Management","0.91","56.88","0.7250000000000001","0","NASDAQ","NASDAQ","null","false","true","true",
"UNP","Union Pacific Corporation","143592212700","Industrials","Railroads","1.065","235.35","5.36","3017234","New York Stock Exchange","NYSE","US","false","false","true",
"FCNTX","Fidelity Contrafund Fund","141827345306","Financial Services","Asset Management","1.03","19.41","0.081","0","NASDAQ","NASDAQ","US","false","true","true",
"TD.TO","The Toronto-Dominion Bank","140814372000","Financial Services","Banks - Diversified","0.806","80.04","4.08","5879879","Toronto Stock Exchange","TSX","CA","false","false","true",
"FNPFX","American Funds New Perspective Fund","139160666090","Financial Services","Asset Management","1.1","61.27","0.701","0","NASDAQ","NASDAQ","null","false","true","true",
"BHP","BHP Group Limited","138895888801","Basic Materials","Industrial Materials","0.871","54.79","3.04","2588074","New York Stock Exchange","NYSE","AU","false","false","true",
"UNA.AS","Unilever PLC","138099662622","Consumer Defensive","Household & Personal Products","0.181","55.42","1.71","4016043","Amsterdam","EURONEXT","GB","false","false","true",
"RNPGX","American Funds New Perspective Fund Class R-6","138079631633","Financial Services","Asset Management","1.1","61.31","0.701","0","NASDAQ","NASDAQ","US","false","true","true",
"ANWPX","American Funds New Perspective Fund Class A","138077176722","Financial Services","Asset Management","1.1","61.17","0.523","0","NASDAQ","NASDAQ","US","false","true","true",
"NPFFX","New Perspective Fund, Class F-1 Shares","138068496011","Financial Services","Asset Management","1.1","60.68","0.493","0","NASDAQ","NASDAQ","null","false","true","true",
"T","AT&T Inc.","137595562300","Communication Services","Telecommunications Services","0.72","19.19","1.11","53426862","New York Stock Exchange","NYSE","US","false","false","true",
"UBER","Uber Technologies, Inc.","137365044800","Technology","Software - Application","1.36","65.74","0","21085202","New York Stock Exchange","NYSE","US","false","false","true",
"VGSLX","Vanguard Real Estate Index Fund Admiral Shares","137201527123","Real Estate","Real Estate - General","1.19","124.74","4.0079","0","NASDAQ","NASDAQ","null","false","true","true",
"AWSHX","American Funds Washington Mutual Investors Fund Class A","136148881345","Financial Services","Asset Management","0.82","60.62","0.958","0","NASDAQ","NASDAQ","null","false","true","true",
"RWMFX","American Funds Washington Mutual Investors Fund Class R-5","136059039687","Financial Services","Asset Management","0.82","60.58","1.1059999999999999","0","NASDAQ","NASDAQ","null","false","true","true",
"RERGX","American Funds EuroPacific Growth Fund Class R-6","136044437497","Financial Services","Asset Management","1.07","56.52","1.1520000000000001","0","NASDAQ","NASDAQ","US","false","true","true",
"RFNCX","American Funds Fundamental Invs R3","136028766188","","","0.96","79.57","0.596","0","Nasdaq","NASDAQ","null","false","true","true",
"CWMAX","American Funds Washington Mutual Investors Fund Class 529-A","135677235158","Financial Services","Asset Management","0.82","60.41","0.937","0","NASDAQ","NASDAQ","null","false","true","true",
"ANCFX","American Funds Fundamental Investors","135468907206","Financial Services","Asset Management","0.96","79.85","0.8380000000000001","0","NASDAQ","NASDAQ","null","false","true","true",
"FUNFX","American Funds Fundamental Invs F3","135468627742","","","0.96","79.81","1.069","0","Nasdaq","NASDAQ","null","false","true","true",
"AFIFX","Fundamental Investors, Class F01 Shares","135468557885","Financial Services","Asset Management","0.96","79.8","0.799","0","NASDAQ","NASDAQ","null","false","true","true",
"CFNAX","American Funds Fundamental Investors Class 529-A","135467647500","Financial Services","Asset Management","0.96","79.67","0.81","0","NASDAQ","NASDAQ","null","false","true","true",
"WSHFX","Washington Mutual Invs Fund Cl F-1 Shs","135407726519","Financial Services","Asset Management","0.82","60.29","0.9240000000000002","0","NASDAQ","NASDAQ","null","false","true","true",
"AEPGX","American Funds EuroPacific Growth Fund Class A","134944798735","Financial Services","Asset Management","1.07","56.45","0.9410000000000001","0","NASDAQ","NASDAQ","null","false","true","true",
"AEPFX","American Funds EuroPacific Growth Fund","134942669138","Financial Services","Asset Management","1.07","56.34","1.093","0","NASDAQ","NASDAQ","US","false","true","true",
"AEGFX","American Funds EuroPacific Growth Cl F-1 Shs","134939361690","Financial Services","Asset Management","1.07","56.17","0.921","0","NASDAQ","NASDAQ","null","false","true","true",
"RERHX","American Funds Europacific Growth R5E","134912339652","Financial Services","Asset Management","1.07","56.01","1.063","0","Nasdaq","NASDAQ","null","false","true","true",
"LOW","Lowe's Companies, Inc.","133780162950","Consumer Cyclical","Home Improvement","1.067","234.77","4.6","2139648","New York Stock Exchange","NYSE","US","false","false","true",
"WSHCX","American Funds Washington Mutual Investors Fund Class C","133566042047","Financial Services","Asset Management","0.82","59.47","0.526","0","NASDAQ","NASDAQ","null","false","true","true",
"SNY","Sanofi","133297950794","Healthcare","Drug Manufacturers - General","0.408","53.1","2.04","4593098","NASDAQ Global Select","NASDAQ","FR","false","false","true",
"RWMBX","American Funds Washington Mutual Investors Fund","133206704069","Financial Services","Asset Management","0.82","59.31","0.518","0","NASDAQ","NASDAQ","null","false","true","true",
"INTC","Intel Corporation","132392700000","Technology","Semiconductors","1.047","31.1","0.5","49596809","NASDAQ Global Select","NASDAQ","US","false","false","true",
"IBMA.BR","International Business Machines Corporation","132095872320","Technology","Information Technology Services","0.84993","145","6.64","45","Brussels","EURONEXT","US","false","false","false",
"HON","Honeywell International Inc.","131832605700","Industrials","Conglomerates","1.032","202.45","4.32","6034153","NASDAQ Global Select","NASDAQ","US","false","false","true",
"COP","ConocoPhillips","129273339300","Energy","Oil & Gas Exploration & Production","1.249","111.03","3.25","4235289","New York Stock Exchange","NYSE","US","false","false","true",
"MUFG","Mitsubishi UFJ Financial Group, Inc.","129041108028","Financial Services","Banks - Diversified","0.615","11.04","0.27","4568628","New York Stock Exchange","NYSE","JP","false","false","true",
"VRTX","Vertex Pharmaceuticals Incorporated","127029169780","Healthcare","Biotechnology","0.392","492.26","0","985118","NASDAQ Global Select","NASDAQ","US","false","false","true",
"TJX","The TJX Companies, Inc.","125751790500","Consumer Cyclical","Apparel - Retail","0.884","111.27","1.5","3430035","New York Stock Exchange","NYSE","US","false","false","true",
"SYK","Stryker Corporation","124738268000","Healthcare","Medical - Devices","0.9","327.44","3.2","1695317","New York Stock Exchange","NYSE","US","false","false","true",
"PGR","The Progressive Corporation","124618963460","Financial Services","Insurance - Property & Casualty","0.356","212.77","0.4","2288374","New York Stock Exchange","NYSE","US","false","false","true",
"LMT","Lockheed Martin Corporation","124279861200","Industrials","Aerospace & Defense","0.455","521.4","12.6","1721146","New York Stock Exchange","NYSE","US","false","false","true",
"BKNG","Booking Holdings Inc.","124170578700","Consumer Cyclical","Travel Services","1.385","3659.88","35","467009","NASDAQ Global Select","NASDAQ","US","false","false","true",
"BLK","BlackRock, Inc.","123975228000","Financial Services","Asset Management","1.331","836.54","20.4","587394","New York Stock Exchange","NYSE","US","false","false","true",
"CWGIX","American Funds Capital World Growth and Income Fund Class A","123080858478","Financial Services","Asset Management - Income","0.99","64.76","1.11","0","NASDAQ","NASDAQ","US","false","true","true",
